,youtube_id,original_label,normalized_label
241,B1J2RMorJXM,debunking,-1.0
242,VFns39RXPrU,not about misinfo,0.0
243,zQCTeGKHsVc,not about misinfo,0.0
244,ocYX_eeWTD8,not about misinfo,0.0
245,zruhc7XqSxo,not about misinfo,0.0
246,eSWwIQzKsbY,not about misinfo,0.0
247,6fedjvyRt5w,not about misinfo,0.0
248,4jwUXV4QaTw,not about misinfo,0.0
249,IRVdiHu1VCc,not about misinfo,0.0
250,7eOYzyo0ATA,not about misinfo,0.0
251,2HFSaxIsJCE,not about misinfo,0.0
252,zORUUqJd81M,not about misinfo,0.0
253,UONvpzG7yjo,not about misinfo,0.0
254,1YQxsqV6NM4,not about misinfo,0.0
255,hJnEQCMA5Sg,not about misinfo,0.0
256,GhsZUZmJvaM,not about misinfo,0.0
257,H9B5mYfBPlY,not about misinfo,0.0
258,gypAjPp6eps,not about misinfo,0.0
259,uEWXYizNKf0,not about misinfo,0.0
260,aw8kRZEvh_s,not about misinfo,0.0
261,8flcCtIkTUc,not about misinfo,0.0
262,SvaG0xDdP8g,not about misinfo,0.0
263,cDUwwx5xZP4,not about misinfo,0.0
264,5gfIDSreaV0,not about misinfo,0.0
265,e0vKOYQUmgg,not about misinfo,0.0
266,uue_x2Mna24,not about misinfo,0.0
267,_v-U3K1sw9U,debunking,-1.0
268,7kGnfXXIKZM,promoting,1.0
269,Ft1waA3p2_w,promoting,1.0
270,G3hPH_bc0Ww,not about misinfo,0.0
271,NXXvPSz1cIc,not about misinfo,0.0
272,YUe0_4rdj0U,neutral,0.0
273,KDmDi_QN3kE,not about misinfo,0.0
274,PTqLPvBz8xc,not about misinfo,0.0
275,lEV5AFFcZ-s,promoting,1.0
276,RMo7jUs0GMs,not about misinfo,0.0
277,kc_Jq42Og7Q,not about misinfo,0.0
278,aFlromB6SnU,not about misinfo,0.0
279,RlSwsE22nX0,not about misinfo,0.0
280,lw6mjVIdbbc,not about misinfo,0.0
281,F1cKfZatlQ4,not about misinfo,0.0
282,Bst5bFSqXkA,not about misinfo,0.0
283,binBd37IEuQ,not about misinfo,0.0
284,O22eHzc8yl0,not about misinfo,0.0
285,_W3xOg1d7nw,not about misinfo,0.0
286,SZB4_-tiRt0,not about misinfo,0.0
287,kknVfOJZ1w0,not about misinfo,0.0
288,pBVQzzeGKNg,not about misinfo,0.0
289,VMOkvloZqRA,not about misinfo,0.0
290,KCCFNyx-E4Q,not about misinfo,0.0
291,gLNQ6Mq5kbg,not about misinfo,0.0
292,j1F5dLm8bxk,not about misinfo,0.0
293,Vdtm0teaznE,not about misinfo,0.0
294,9dq9AX-Z1pc,not about misinfo,0.0
295,M2w3NZzPwOM,not about misinfo,0.0
296,UWpwl-NPnrM,not about misinfo,0.0
297,pLYKoWkbN6E,not about misinfo,0.0
298,Pza9fRxW5WM,not about misinfo,0.0
299,aW47xjcKIcM,not about misinfo,0.0
300,hUEZmrcx_lM,debunking,-1.0
301,N0Fhu-Uur18,not about misinfo,0.0
302,LWeiydKl0mU,not about misinfo,0.0
303,5bpQ9-IQffw,debunking,-1.0
304,R5d7sCRgIyc,promoting,1.0
305,kU0KkaCQFhI,not about misinfo,0.0
306,3owk7vEEOvs,not about misinfo,0.0
307,SGP6Y0Pnhe4,debunking,-1.0
308,PFNdIup9kS0,not about misinfo,0.0
309,cR6lv23XXSM,not about misinfo,0.0
310,8X7Ng75e5gQ,not about misinfo,0.0
311,PtG6niRiRXk,not about misinfo,0.0
312,BdHFLfv-ThQ,not about misinfo,0.0
313,s86-Z-CbaHA,not about misinfo,0.0
314,CKJuC5CUMgU,not about misinfo,0.0
315,He3IJJhFy-I,not about misinfo,0.0
316,Od49AfIS2-U,not about misinfo,0.0
317,MwgkvBZXum0,not about misinfo,0.0
318,BrNs0M77Pd4,not about misinfo,0.0
319,ovJcsL7vyrk,not about misinfo,0.0
320,zHL9GP_B30E,not about misinfo,0.0
321,NJ7M01jV058,not about misinfo,0.0
322,_AJPHGMt9JI,not about misinfo,0.0
323,oXfejGYmTNE,not about misinfo,0.0
324,S-2i2iqDi58,not about misinfo,0.0
325,8C074FDH2j4,not about misinfo,0.0
326,x9VYKrtziSg,not about misinfo,0.0
327,fEKdGa8-I24,promoting,1.0
328,mR5i0lI3xrw,promoting,1.0
329,XTm7UnEU86Y,not about misinfo,0.0
